0:1.2012538 1:-1.2528001564615205 2:1.0929413 3:2.852562055493587 4:0.9233588713702409
0 0:1.7401531 1:2.2500452072209223 2:-0.7675189258369207 3:3.4718917667746134 4:-2.5381945049867194
0 0:0.7688741388470378 1:-0.5900984891288168 2:3.3453679102711216 3:1.5179157 4:1.8080770538741988
0 0:0.4130143632881143 1:0.8363512849176421 2:1.1762173 3:3.551221363044711 4:1.1407509
0 0:1.4169028 1:3.6264446889924535 2:3.626690579610933 3:1.2344235 4:3.1466638633452026
0 0:1.0045431 1:1.0541828612083877 2:1.4631968 3:0.9548889202086308 4:0.438781655203185
0 0:3.112779297353671 1:-1.0678268417978842 2:1.8014776645790243 3:1.1490447 4:1.5281381998402983
0 0:1.1165074 1:-2.6516260104221923 2:3.262493501281784 3:1.0219425 4:2.5776004631469602
0 0:2.8026727840500603 1:1.4006338 2:1.480031 3:1.9928304502079028 4:-0.7662101389133245
0 0:1.2425128493444906 1:0.4602540056375356 2:1.4505307 3:1.236881 4:1.3994882
0 0:1.2750465988159843 1:-2.177616771751592 2:2.864673897487051 3:1.463257 4:2.49221557127518
0 0:1.5882641 1:-1.034502445831425 2:3.373384504872415 3:3.1801351535725217 4:-0.6439151311224577
0 0:0.3496478393734074 1:-1.5267913932061696 2:1.4470108 3:2.6669167722427067 4:3.350816204794871
0 0:0.381456090982309 1:-1.8936841449284463 2:1.1948553 3:3.635933992025694 4:1.3758071
0 0:2.3642192405204563 1:-0.9043988280617826 2:1.9493319804164062 3:3.56739345364244 4:3.2064957020814373
0 0:1.1456341 1:1.449319 2:-1.470156978632876 3:1.4053478 4:-0.4702466781101314
0 0:2.109312154453961 1:-0.3343772691558759 2:3.190984028656499 3:2.7777228324703716 4:2.718350364792327
0 0:2.53661832552102 1:2.8379973405381684 2:2.630660413918055 3:1.3694165 4:-1.0992884434260277
0 0:1.4699462 1:-3.3749349695651767 2:1.087604 3:1.4144792 4:1.0059099
0 0:1.4708183 1:-2.769993832563136 2:1.4980898 3:2.560427814045133 4:2.53771298758617
0 0:1.9829647697183994 1:-3.184459392463771 2:1.1083969 3:1.1262146 4:1.250009
0 0:2.293151443952242 1:1.5655083131730965 2:1.2224278 3:1.1135178 4:1.2903537
0 0:0.9379083409630393 1:-0.35523960907264945 2:1.0950535 3:2.2821586176429336 4:3.2412714560192066
0 0:1.1806337 1:2.935124686656532 2:0.6650802286475419 3:3.526515756989849 4:0.17196472499158458
0 0:1.158909928697801 1:0.6202911274125835 2:1.3417367 3:1.9359434128223567 4:2.9213395082369558
0 0:1.3589986 1:-1.158621327276202 2:3.6669978424020435 3:3.5748715597707967 4:3.4467003391297397
0 0:-0.4978652271560774 1:3.119173704224225 2:1.0341735 3:3.3134820332834756 4:1.0414718
0 0:1.7817845 1:-2.013206703847283 2:1.337193 3:2.7883991720964407 4:2.7423214259670026
0 0:1.3251789 1:1.0648433 2:1.8468853550943123 3:3.166088633597937 4:0.790528148149439
0 0:3.4261153874833825 1:1.8815324615915032 2:1.94692520274843 3:2.613563989436439 4:2.497734535439578
0 0:1.1943421 1:0.8568000475948773 2:3.59589189673578 3:1.3572596 4:3.518322309288134
0 0:-1.2586033554875686 1:3.4517509927655268 2:1.3741565 3:2.7800930429218953 4:1.3544579
0 0:1.7661688165430538 1:1.6074697826593787 2:1.3031476217490265 3:1.72732843623567 4:1.0332509
0 0:1.5964524 1:0.750005087278137 2:0.8613127511238391 3:3.585743574471625 4:0.6574809062433193
0 0:1.7314141 1:-1.2298084056115226 2:1.2521584 3:2.303374114651458 4:3.4071145614986547
0 0:2.958367052234135 1:0.4410971653702409 2:3.0270543009385285 3:1.3412091 4:3.0024252138074297
0 0:1.4208762 1:1.3390313917756596 2:3.657927737992017 3:3.5565801892883675 4:1.3658867
0 0:1.5838873 1:-2.6193327805293367 2:2.047252290670215 3:1.3567249 4:1.9377079833498796
0 0:3.1080158839855514 1:-2.317650044245557 2:3.420913535397275 3:2.9530318438506025 4:3.2663001705872494
0 0:1.1910293 1:-1.9503882726558417 2:2.049151026829933 3:3.592034128975936 4:2.5036075467781593
0 0:2.1789105301703033 1:-1.2683950074281074 2:1.0117807 3:1.5391525 4:1.3439198105778898
0 0:1.9704327358272296 1:0.8506731626539434 2:2.696301436909829 3:3.410762564401143 4:2.193627657578199
0 0:2.597373615230484 1:-0.42437387761737017 2:3.6092590537463534 3:3.008886611524221 4:1.442467
0 0:3.3929523802277655 1:-3.234669859447385 2:3.0420654375958085 3:1.030062 4:2.84584693132622
0 0:1.822952884473016 1:-1.1165947431288321 2:1.6370856 3:1.2987667 4:1.0460917
0 0:1.9112832398784791 1:1.413464880563207 2:1.0030494 3:1.2123652 4:1.0459113
0 0:3.2849685807089357 1:1.0228966459049937 2:1.3625598 3:1.0856608 4:1.2091542
0 0:1.4768552 1:-2.591009631989715 2:3.141049618405541 3:1.0435455 4:1.35289577463892
0 0:1.3912247 1:1.2003422 2:1.2821433 3:1.1333468 4:1.1444814
0 0:3.3211743923983703 1:-2.5415598293266117 2:2.795793512076042 3:2.708643571433466 4:1.0072849
0 0:1.5459305 1:1.1904113 2:1.6297693 3:1.3866834 4:1.2361505
0 0:3.087282971227955 1:-0.9036344849468607 2:1.2322974 3:0.4419077475424834 4:1.0733761
0 0:1.0388311 1:1.2913543 2:0.7724163764101895 3:1.1821181 4:-1.4223749942042674
0 0:1.1616345 1:-2.7392715214599708 2:1.1171467 3:1.0969079 4:2.4384825482785173
0 0:3.2623253803771686 1:1.1643002086336773 2:1.0984852 3:2.8501402315564675 4:1.2841024
0 0:1.1799699 1:-1.0771677790525005 2:1.5542978 3:2.0605065822682365 4:2.3792582992273212
0 0:1.0677812 1:-0.6609046130505254 2:1.5266242 3:1.1718477 4:1.5030425
0 0:0.6226624782903746 1:0.5012624098555751 2:1.0851004 3:1.0327903 4:1.8513648758976804
